disease,common_symptom,Description
Congenital Retrosternal Diaphragmatic Hernia,"Sternal cleft, tenderness in the intercostal spaces, sunken lower sternum and ribcage upon inhalation, pectus carinatum when inhaling, abnormal thorax, intercostal neuralgia, pneumothorax, paradoxical abdominal respiration, chest deformity, absence of the central line of the upper abdominal wall, and elevated diaphragm","Congenital diaphragmatic hernia (CDH) is a birth defect of the diaphragm.  The most common type of CDH is a Bochdalek hernia;  other types include Morgagni hernia, diaphragm eventration and central tendon defects of the diaphragm.  Malformation of the diaphragm allows the abdominal organs to push into the chest cavity, hindering proper lung formation.
CDH is a life-threatening pathology in infants and a major cause of death due to two complications: pulmonary hypoplasia and pulmonary hypertension.  Experts disagree on the relative importance of these two conditions, with some focusing on hypoplasia, others on hypertension."
Hypernatremia,"Fatigue, headache, irritability, tremors, convulsions, difficulty breathing, cough","Hyponatremia or hyponatraemia is a low concentration of sodium in the blood. It is generally defined as a sodium concentration of less than 135 mmol/L (135 mEq/L), with severe hyponatremia being below 120 mEq/L. Symptoms can be absent, mild or severe. Mild symptoms include a decreased ability to think, headaches, nausea, and poor balance. Severe symptoms include confusion, seizures, and coma; death can ensue.
The causes of hyponatremia are typically classified by a person's body fluid status into low volume, normal volume, or high volume."
Mycotoxicosis,"Convulsions, low-grade fever, nausea, abdominal pain, diarrhea, bloating, enlarged liver, jaundice","A mycotoxin (from the Greek  mykes, ""fungus"" and  toxikos, ""poisonous"") is a toxic secondary metabolite produced by fungi and is capable of causing disease and death in both humans and other animals. The term 'mycotoxin' is usually reserved for the toxic chemical products produced by fungi that readily colonize crops.
Examples of mycotoxins causing human and animal illness include aflatoxin, citrinin, fumonisins, ochratoxin A, patulin, trichothecenes, zearalenone, and ergot alkaloids such as ergotamine.
One mold species may produce many different mycotoxins, and several species may produce the same mycotoxin.


== Production ==
Most fungi are aerobic (use oxygen) and are found almost everywhere in extremely small quantities due to the diminutive size of their spores."
Alcohol Withdrawal Syndrome,"Alcohol-induced tremors, nausea and vomiting, facial flushing, anorexia, withdrawal seizures, dipsomania hallucinatory psychosis, tremors, delirium, convulsions, consciousness disorders, conjunctival congestion, tachycardia","Alcohol withdrawal syndrome (AWS) is a set of symptoms that can occur following a reduction in or cessation of alcohol use after a period of excessive use. Symptoms typically include anxiety, shakiness, sweating, vomiting, fast heart rate, and a mild fever. More severe symptoms may include seizures, and delirium tremens (DTs); which can be fatal in untreated patients. Symptoms start at around 6 hours after the last drink. Peak incidence of seizures occurs at 24 to 36 hours and peak incidence of delirium tremens is at 48 to 72 hours."
Elderly Acute Appendicitis,"Lower right abdominal colic, nausea and vomiting, fever with chills, tenderness in the lower right abdomen with rebound pain","Appendicitis is inflammation of the appendix. Symptoms commonly include right lower abdominal pain, nausea, vomiting, fever and decreased appetite. However, approximately 40% of people do not have these typical symptoms. Severe complications of a ruptured appendix include widespread, painful inflammation of the inner lining of the abdominal wall and sepsis.
Appendicitis is primarily caused by a blockage of the hollow portion in the appendix."
Neonatal Hemolytic Disease,"General edema in neonates, pallor, petechiae, pleural effusion, increased limb muscle tone, convulsions, opisthotonos, respiratory failure, hemolytic phenomena, edema, jaundice, hepatomegaly","Hemolytic disease of the newborn, also known as hemolytic disease of the fetus and newborn, HDN, HDFN, or erythroblastosis fetalis, is an alloimmune condition that develops in a fetus at or around birth, when the IgG molecules (one of the five main types of antibodies) produced by the mother pass through the placenta. Among these antibodies are some which attack antigens on the red blood cells in the fetal circulation, breaking down and destroying the cells. The fetus can develop reticulocytosis and anemia. The intensity of this fetal disease ranges from mild to very severe, and fetal death from heart failure (hydrops fetalis) can occur. When the disease is moderate or severe, many erythroblasts (immature red blood cells) are present in the fetal blood, earning these forms of the disease the name erythroblastosis fetalis (British English: erythroblastosis foetalis
HDFN represents a breach of immune privilege for the fetus or some other form of impairment of the immune tolerance in pregnancy."
Mucosa-associated Lymphoid Tissue (MALT) Lymphoma,"Insidious onset of upper abdominal pain, bloating, indigestion, nausea and vomiting, acid reflux, and weight loss","MALT lymphoma (also called MALToma) is a form of lymphoma involving the mucosa-associated lymphoid tissue (MALT), frequently of the stomach, but virtually any mucosal site can be affected. It is a cancer originating from B cells in the marginal zone of the MALT.


== Diagnosis and staging ==
MALT lymphoma is often a multifocal disease in the organ of origin and is frequently macroscopically indistinguishable from other disease processes in the GI tract. Endoscopy is key to diagnosing MALT lymphoma, with multiple biopsies of the visible lesions required, as well as samples of macroscopically normal tissue, termed gastric mapping. Histologically, there is expansion of the marginal zone compartment with development of sheets of neoplastic small lymphoid cells. The morphology of the neoplastic cells is variable with small mature lymphocytes, cells resembling centrocytes (centrocyte like cells), or marginal zone/monocytoid B cells."
Sudden Infant Death Syndrome (SIDS),Unexplained death,"Sudden infant death syndrome (SIDS), sometimes known as cot death or crib death, is the sudden unexplained death of a child of less than one year of age. Diagnosis requires that the death remain unexplained even after a thorough autopsy and detailed death scene investigation. SIDS usually occurs during sleep. Typically death occurs between the hours of midnight and 9:00 a.m.  There is usually no noise or evidence of struggle."
Anal Papillitis,"Anal discomfort, hidden anal pain, anal itching, prone to dampness","Oral leukoplakia is a potentially malignant disorder affecting the oral mucosa. It is defined as ""essentially an oral mucosal white/gray lesion that cannot be considered as any other definable lesion."" Oral leukoplakia is a gray patch or plaque that develops in the oral cavity and is strongly associated with smoking. Leukoplakia is a firmly attached white patch on a mucous membrane which is associated with increased risk of cancer. The edges of the lesion are typically abrupt and the lesion changes with time. Advanced forms may develop red patches."
Paget's Disease of the Breast,"Itching or intense itching of the nipple, burning sensation, followed by redness of the nipple and areola skin, presence of yellowish-brown scaly crusts, revealing slight skin erosion under the crust, presenting as chronic eczematous changes.","Paget's disease of the breast (also known as mammary Paget's disease) is a rare skin change at the nipple nearly always associated with underlying breast cancer. Paget's disease of the breast was first described by Sir James Paget in 1874. The condition is an uncommon disease accounting for 1 to 4% of all breast cancers cases. 92% to 100% of patients with Paget's disease of the breast have an underlying breast cancer.
The condition in itself often appears innocuous, limited to a surface appearance and it is sometimes dismissed, although it is actually indicative of underlying breast cancer."
Metabolic Acidosis in the Elderly,"Deepened respiration, fatigue, dizziness, palpitations","Hypovolemic shock is a form of shock caused by severe hypovolemia (insufficient blood volume or extracellular fluid in the body). It can be caused by severe dehydration or blood loss. Hypovolemic shock is a medical emergency; if left untreated, the insufficient blood flow can cause damage to organs, leading to multiple organ failure.
In treating hypovolemic shock, it is important to determine the cause of the underlying hypovolemia, which may be the result of bleeding or other fluid losses. To minimize ischemic damage to tissues, treatment involves quickly replacing lost blood or fluids, with consideration of both rate and the type of fluids used."
Geriatric Venous Thrombosis,"Venous thrombosis, heat pain, local venous tenderness, gastrocnemius muscle tenderness, pain, calf swelling, calf edema, referred pain, lower limb swelling and fatigue, pallid skin","Intestinal ischemia is a medical condition in which injury to the large or small intestine occurs due to not enough blood supply. It can come on suddenly, known as acute intestinal ischemia, or gradually, known as chronic intestinal ischemia. The acute form of the disease often presents with sudden severe abdominal pain and is associated with a high risk of death. The chronic form typically presents more gradually with abdominal pain after eating, unintentional weight loss, vomiting, and fear of eating.
Risk factors for acute intestinal ischemia include atrial fibrillation, heart failure, chronic kidney failure, being prone to forming blood clots, and previous myocardial infarction."
Yersinia Enterocolitica and Yersinia Pseudotuberculosis Pneumonia,"Persistent fever, coughing, shortness of breath, and abdominal ascites","Yersinia pestis (Y. pestis; formerly Pasteurella pestis) is a gram-negative, non-motile, coccobacillus bacterium without spores. It is related to pathogens Yersinia enterocolitica, and Yersinia pseudotuberculosis, from which it evolved. Yersinia pestis is responsible for the disease plague, which caused the Plague of Justinian and the Black Death, one of the deadliest pandemics in recorded history. Plague takes three main forms: pneumonic, septicemic, and bubonic. Y. pestis is a facultative anaerobic parasitic bacterium that can infect humans primarily via its host the Oriental rat flea (Xenopsylla cheopis), but also through aerosols and airborne droplets for its pneumonic form."
Pediatric Craniofacial Deformity Syndrome,"Craniofacial bone deformity, triangular head deformity, developmental disorders of the brain, hook nose, sparse hair, microcephaly, iris defects, aphakia with blue sclera and microphthalmos","Pfeiffer syndrome is a rare genetic disorder, characterized by the premature fusion of certain bones of the skull (craniosynostosis), which affects the shape of the head and face. The syndrome includes abnormalities of the hands and feet, such as wide and deviated thumbs and big toes.
Pfeiffer syndrome is caused by mutations in the fibroblast growth factor receptors FGFR1 and FGFR2. The syndrome is grouped into three types: type 1 (classic Pfeiffer syndrome) is milder and caused by mutations in either gene; types 2 and 3 are more severe, often leading to death in infancy, caused by mutations in FGFR2.
There is no cure for the syndrome."
Pleomorphic Adenoma of the Salivary Gland,"Foreign body sensation in the throat, painless mass in the parotid gland, facial nerve paralysis, enlargement of the submandibular gland","Pleomorphic adenoma (or benign mixed tumor) is a common benign salivary gland neoplasm characterised by neoplastic proliferation of epithelial (ductal) cells along with myoepithelial components, having a malignant potentiality. It is the most common type of salivary gland tumor and the most common tumor of the parotid gland. It derives its name from the architectural Pleomorphism (variable appearance) seen by light microscopy. It is also known as ""Mixed tumor, salivary gland type"", which refers to its dual origin from epithelial and myoepithelial elements as opposed to its pleomorphic appearance.


== Clinical presentation ==
The tumor is usually solitary and presents as a slow growing, painless, firm single nodular mass."
Drug-induced Respiratory Failure,"Dyspnea, coma, abnormal breathing, restlessness, respiratory alkalosis, slow and regular breathing rate, sudden cardiac dysfunction, pleural effusion due to lung cancer, exertional dyspnea, abnormal breath sounds, metabolic acidosis, sighing respiration","Respiratory failure results from inadequate gas exchange by the respiratory system, meaning that the arterial oxygen, carbon dioxide, or both cannot be kept at normal levels. A drop in the oxygen carried in the blood is known as hypoxemia; a rise in arterial carbon dioxide levels is called hypercapnia. Respiratory failure is classified as either Type 1 or Type 2, based on whether there is a high carbon dioxide level, and can be acute or chronic. In clinical trials, the definition of respiratory failure usually includes increased respiratory rate, abnormal blood gases (hypoxemia, hypercapnia, or both), and evidence of increased work of breathing. Respiratory failure causes an altered state of consciousness due to ischemia in the brain."
Pulmonary Malaria,"Fever, chills, productive cough, coughing, diffuse or scattered reversible wheezing sounds in both lungs, intermittent fever, detection of Plasmodium in blood bone marrow or sputum smears, increased pulmonary water content, chest pain, cyclical chills and fever with sweating as symptoms recede, alternation of cold and heat, ascites","Malaria is a mosquito-borne infectious disease that affects vertebrates and Anopheles mosquitoes. Human malaria causes symptoms that typically include fever, fatigue, vomiting, and headaches. In severe cases, it can cause jaundice, seizures, coma, or death. Symptoms usually begin 10 to 15 days after being bitten by an infected Anopheles mosquito. If not properly treated, people may have recurrences of the disease months later."
Chronic Appendicitis,"Lower right abdominal pain, tenderness, low fever","Appendicitis is inflammation of the appendix. Symptoms commonly include right lower abdominal pain, nausea, vomiting, fever and decreased appetite. However, approximately 40% of people do not have these typical symptoms. Severe complications of a ruptured appendix include widespread, painful inflammation of the inner lining of the abdominal wall and sepsis.
Appendicitis is primarily caused by a blockage of the hollow portion in the appendix."
Relapsing Polychondritis,"Red, swollen, hot, and painful auricle; sudden collapse of the nasal bridge; frequent nasal congestion, nasal discharge, and nasal chondritis; migratory, asymmetrical, non-deforming arthritis.","Relapsing polychondritis is a systemic disease characterized by repeated episodes of inflammation and in some cases deterioration of cartilage. The disease can be life-threatening if the respiratory tract, heart valves, or blood vessels are affected. The exact mechanism is poorly understood.
The diagnosis is reached on the basis of the symptoms and supported by investigations such as blood tests and sometimes other investigations. Treatment may involve symptomatic treatment with painkillers or anti-inflammatory medications, and more severe cases may require suppression of the immune system."
Osteogenesis Imperfecta,"Spontaneous fractures, blue sclerae, joint hypermobility, dwarfism, poor dental development","Osteogenesis imperfecta (IPA: ; OI), colloquially known as brittle bone disease, is a group of genetic disorders that all result in bones that break easily.:85 The range of symptomson the skeleton as well as on the body's other organsmay be mild to severe.:1512 Symptoms found in various types of OI include whites of the eye (sclerae) that are blue instead, short stature, loose joints, hearing loss, breathing problems and problems with the teeth (dentinogenesis imperfecta). Potentially life-threatening complications, all of which become more common in more severe OI, include: tearing (dissection) of the major arteries, such as the aorta;:333 pulmonary valve insufficiency secondary to distortion of the ribcage;:335341 and basilar invagination.:106107
The underlying mechanism is usually a problem with connective tissue due to a lack of, or poorly formed, type I collagen.:1513 In more than 90% of cases, OI occurs due to mutations in the COL1A1 or COL1A2 genes. These mutations may be hereditary in an autosomal dominant manner but may also occur spontaneously (de novo). There are four clinically defined types: type I, the least severe; type IV, moderately severe; type III, severe and progressively deforming; and type II, perinatally lethal. As of September 2021, 19 different genes are known to cause the 21 documented genetically defined types of OI, many of which are extremely rare and have only been documented in a few individuals."
Uveal Malignant Melanoma,"Distorted vision, minification of objects, visual field defects, retinal detachment, visual impairment, pigmentation and depigmentation, eye pain, central scotoma, and changes in refractive status, proptosis","Uveal melanoma is a type of eye cancer in the uvea of the eye. It is traditionally classed as originating in the iris, choroid, and ciliary body, but can also be divided into class I (low metastatic risk) and class II (high metastatic risk). Symptoms include blurred vision, loss of vision, and photopsia, but there may be no symptoms.
Tumors arise from the pigment cells that reside within the uvea and give color to the eye. These melanocytes are distinct from the retinal pigment epithelium cells underlying the retina that do not form melanomas."
Paroxysmal Nocturnal Hemoglobinuria in Children,"Chills, fever, headache, abdominal pain, back pain","Paroxysmal attacks or paroxysms are a sudden recurrence or intensification of symptoms, such as a spasm or seizure. These short, frequent symptoms can be observed in various clinical conditions. They are usually associated with multiple sclerosis or pertussis, but they may also be observed in other disorders such as encephalitis, head trauma, stroke, autism, asthma, trigeminal neuralgia, breath-holding spells, epilepsy, malaria, tabes dorsalis, Behet's disease, and paroxysmal nocturnal hemoglobinuria (PNH). It has also been noted as a symptom of gratification disorder in children.
The word paroxysm means 'sudden attack, outburst' and comes from Greek   (paroxusms) 'irritation, exasperation'."
Hepatoblastoma,"Abnormal appetite, upper abdominal mass, anorexia, abdominal distension, weight loss, precocious puberty, diarrhea, vomiting, abdominal pain, pale complexion","Hepatoblastoma is a malignant liver cancer occurring in infants and children and composed of tissue resembling fetal liver cells, mature liver cells, or bile duct cells. They usually present with an abdominal mass.  The disease is most commonly diagnosed during a child's first three years of life. Alpha-fetoprotein (AFP) levels are commonly elevated, but when AFP is not elevated at diagnosis the prognosis is poor.


== Signs and symptoms ==
Patients are usually asymptomatic at diagnosis."
Peripheral Nervous System Tumors,"Tumors vary in size, are round or nodular, solid in texture with a complete capsule","A nervous system tumor is a tumor that arises within the nervous system, either the central nervous system (CNS) or the peripheral nervous system (PNS). Nervous system primary tumors include various types of brain tumor and spinal tumors, such as gliomas, and meningiomas (of the CNS), and schwannomas (of the PNS) and can be either benign or malignant. 
There are over 120 types of brain and spinal cord tumors. In the CNS a tumor may be a malignant secondary tumor having metastasised (spread from a primary site in the body). Secondary tumors are more common in adults."
Community-Acquired Pneumonia,"Nasal congestion, sore throat, headache, fever, jaundice, foreign body sensation in throat, hemoptysis, abnormal breathing, myalgia, chest pain, lung infection","Community-acquired pneumonia (CAP) refers to pneumonia (any of several lung diseases) contracted by a person outside of the healthcare system. In contrast, hospital-acquired pneumonia (HAP) is seen in patients who have recently visited a hospital or who live in long-term care facilities. CAP is common, affecting people of all ages, and its symptoms occur as a result of oxygen-absorbing areas of the lung (alveoli) filling with fluid. This inhibits lung function, causing dyspnea, fever, chest pains and cough.
CAP, the most common type of pneumonia, is a leading cause of illness and death worldwide."
Renal Magnesium Wasting,"Muscle contractions, limb spasms, carpopedal spasms, convulsions, unsteady gait, nausea and vomiting, loss of appetite, weakness, dizziness, and hallucinations","Magnesium deficiency is an electrolyte disturbance in which there is a low level of magnesium in the body. Symptoms include tremor, poor coordination, muscle spasms, loss of appetite, personality changes, and nystagmus. Complications may include seizures or cardiac arrest such as from torsade de pointes. Those with low magnesium often have low potassium.
Causes include low dietary intake, alcoholism, diarrhea, increased urinary loss, and poor absorption from the intestines."
Microscopic Polyangiitis,"Skin purpura, papules, livedo reticularis, hematuria with proteinuria, fever with arthralgia, heart failure, maculopapular rash, vasculitis, hypersensitivity angiitis, arrhythmias, systemic vasculitis","Microscopic polyangiitis is an autoimmune disease characterized by a systemic, pauci-immune, necrotizing, small-vessel vasculitis without clinical or pathological evidence of granulomatous inflammation.


== Signs and symptoms ==
Clinical features may include constitutional symptoms like fever, arthralgia, myalgia, loss of appetite, weight loss and fatigue. A variety of organs can be affected, which causes a wide range of symptoms such as cough, shortness of breath, hemoptysis (coughing up of blood), symptoms of kidney failure, skin manifestations (palpable purpura and livedo racemosa), seizures or peripheral neuropathy, abdominal pain 
The kidneys are affected in up to 80% of cases with signs of blood and protein in the urine and the injury can lead to either rapidly or slowly progressive kidney failure. The lungs are affected in 20-50% of cases with findings of pulmonary hemorrhage, or chronic pulmonary fibrosis leading to respiratory failure.


== Causes ==
While the mechanism of the disease has yet to be fully elucidated, the leading hypothesis is that AAV (ANCA Associated Vasculitis) develops in patients with a genetic predisposition when an unknown cause triggers the production of p-ANCA. These antibodies will circulate at low levels until an environmental triggersuch as infection, malignancy, or drug therapy, causes the upregulation of neutrophils."
Edema,"Capillary rupture, skin congestion, pain","Edema (American English), also spelled oedema (British English), and also known as fluid retention, swelling, dropsy and hydropsy, is the build-up of fluid in the body's tissue. Most commonly, the legs or arms are affected. Symptoms may include skin that feels tight, the area feeling heavy, and joint stiffness. Other symptoms depend on the underlying cause.
Causes may include venous insufficiency, heart failure, kidney problems, low protein levels, liver problems, deep vein thrombosis, infections, kwashiorkor, angioedema, certain medications, and lymphedema."
Sepsis-induced Kidney Injury,"High fever with chills, chills, headache, abdominal distension, joint pain, general malaise, rash","Acute kidney injury (AKI), previously called acute renal failure (ARF), is a sudden decrease in kidney function that develops within seven days, as shown by an increase in serum creatinine or a decrease in urine output, or both.
Causes of AKI are classified as either prerenal (due to decreased blood flow to the kidney), intrinsic renal (due to damage to the kidney itself), or postrenal (due to blockage of urine flow). Prerenal causes of AKI include sepsis, dehydration, excessive blood loss, cardiogenic shock, heart failure, cirrhosis, and certain medications like ACE inhibitors or NSAIDs. Intrinsic renal causes of AKI include glomerulonephritis, lupus nephritis, acute tubular necrosis, certain antibiotics, and chemotherapeutic agents. Postrenal causes of AKI include kidney stones, bladder cancer, neurogenic bladder, enlargement of the prostate, narrowing of the urethra, and certain medications like anticholinergics."
Stable Angina,"Precordial pain, fatigue, shortness of breath","Angina, also known as angina pectoris, is chest pain or pressure, usually caused by insufficient blood flow to the heart muscle (myocardium). It is most commonly a symptom of coronary artery disease.
Angina is typically the result of partial obstruction or spasm of the arteries that supply blood to the heart muscle. The main mechanism of coronary artery obstruction is atherosclerosis as part of coronary artery disease. Other causes of angina include abnormal heart rhythms, heart failure and, less commonly, anemia."
Pediatric Familial Hypophosphatemic Rickets,"""O"" shaped legs, ""X"" shaped legs, bone pain, dental pain, beading of the ribs, spinal and limb deformities, joint pain","Hypophosphatemia is an electrolyte disorder in which there is a low level of phosphate in the blood. Symptoms may include weakness, trouble breathing, and loss of appetite. Complications may include seizures, coma, rhabdomyolysis, or softening of the bones.
Nutritional phosphate deficiency is exceedingly rare as phosphate is abundant in most types of foods and is readily passively absorbed from the gastrointestinal tract; hypophosphatemia is thus typically a result of diseases or an adverse effect of medical treatments. Causes include alcohol use disorder, refeeding in those with malnutrition, recovery from diabetic ketoacidosis, burns, hyperventilation, and certain medications."
Strangulation,"Asphyxiation, incontinence of urine and feces","Strangling or strangulation is compression of the neck that may lead to unconsciousness or death by causing an increasingly hypoxic state in the brain by restricting the flow of oxygen through the trachea. Fatal strangulation typically occurs in cases of violence, accidents, and is one of two main ways that hanging causes death (alongside breaking the victim's neck).
Strangling does not have to be fatal; limited or interrupted strangling is practised in erotic asphyxia, in the choking game, and is an important technique in many combat sports and self-defense systems. Strangling can be divided into three general types according to the mechanism used:

Hanging  Suspension from a cord wound around the neck
Ligature strangulation  Strangulation without suspension using some form of cord-like object (ligature) called a garrote
Manual strangulation  Strangulation using the fingers, hands, or other extremity


== General ==

Strangling involves one or several mechanisms that interfere with the normal flow of oxygen into the brain:

Compression of the carotid arteries or jugular veinscausing cerebral ischemia.
Compression of the laryngopharynx, larynx, or tracheacausing asphyxia."
Bone Marrow Transplantation,"Nausea, vomiting, diarrhea, hair loss, fatigue, poor appetite","Hematopoietic stem-cell transplantation (HSCT) is the transplantation of multipotent hematopoietic stem cells, usually derived from bone marrow, peripheral blood, or umbilical cord blood, in order to replicate inside a patient and produce additional normal blood cells. HSCT may be autologous (the patient's own stem cells are used),  syngeneic (stem cells from an identical twin), or allogeneic (stem cells from a donor).
It is most often performed for patients with certain cancers of the blood or bone marrow, such as multiple myeloma, leukemia, some types of lymphoma and immune deficiencies. In these cases, the recipient's immune system is usually suppressed with radiation or chemotherapy before the transplantation. Infection and graft-versus-host disease are major complications of allogeneic HSCT.
HSCT remains a dangerous procedure with many possible complications; it is reserved for patients with life-threatening diseases."
Carbon Tetrachloride Poisoning,"Nausea and vomiting, confusion, hepatomegaly (enlarged liver), hepatic pain, headache, ascites, diarrhea, acute renal failure, abdominal pain","Carbon tetrachloride, also known by many other names (such as carbon tet for short and tetrachloromethane, also recognised by the IUPAC), is a chemical compound with the chemical formula CCl4. It is a non-flammable, dense, colourless liquid with a ""sweet"" chloroform-like odour that can be detected at low levels. It was formerly widely used in fire extinguishers, as a precursor to refrigerants, an anthelmintic and a cleaning agent, but has since been phased out because of environmental and safety concerns. Exposure to high concentrations of carbon tetrachloride can affect the central nervous system and degenerate the liver and kidneys. Prolonged exposure can be fatal."
Chronic Myeloid Leukemia (CML) in Children,"Low-grade fever, sweating, night sweats, weight loss, fatigue, sternal tenderness, dizziness, confusion, tendency to bleed","Chronic myelogenous leukemia (CML), also known as chronic myeloid leukemia, is a cancer of the white blood cells. It is a form of leukemia characterized by the increased and unregulated growth of myeloid cells in the bone marrow and the accumulation of these cells in the blood. CML is a clonal bone marrow stem cell disorder in which a proliferation of mature granulocytes (neutrophils, eosinophils and basophils) and their precursors is found; characteristic increase in basophils is clinically relevant. It is a type of myeloproliferative neoplasm associated with a characteristic chromosomal translocation called the Philadelphia chromosome.
CML is largely treated with targeted drugs called tyrosine-kinase inhibitors (TKIs) which have led to dramatically improved long-term survival rates since 2001."
